title,title_original,merged_titles,n_entries_merged,synopsis,genres,themes,score,episodes,aired,studios,composer,composer_source_url,features,mood,mood_method,imdb_review_url,artwork,mal_id,mal_url,artwork_url,mal_title_matched,mal_match_score
Diamond no Ace: Second Season,Diamond no Ace: Second Season,Diamond no Ace: Act II | Diamond no Ace: Second Season,2,"After the National Tournament, the Seidou High baseball team moves forward with uncertainty as the Fall season quickly approaches. In an attempt to build a stronger team centered around their new captain, fresh faces join the starting roster for the very first time. Previous losses weigh heavily on the minds of the veteran players as they continue their rigorous training, preparing for what will inevitably be their toughest season yet.
 
Rivals both new and old stand in their path as Seidou once again climbs their way toward the top, one game at a time. Needed now more than ever before, Furuya and Eijun must be determined to pitch with all their skill and strength in order to lead their team to victory. And this time, one of these young pitchers may finally claim that coveted title: ""The Ace of Seidou.""

[Written by MAL Rewrite]",Sports,School | Team Sports,8.3,51,2015,Production I.G | Madhouse,Hiromi Mizutani,,,Tense and passionate—a lovingly detailed baseball drama with real stakes and intense tournament pressure.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Diamond+no+Ace%3A+Second+Season+anime+official+key+visual,30230,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season,https://cdn.myanimelist.net/images/anime/9/74398l.jpg,Diamond no Ace: Second Season,1
Digimon Adventure: Last Evolution Kizuna,Digimon Adventure: Last Evolution Kizuna,Digimon Adventure: Last Evolution Kizuna,1,"As the Chosen Children and their partner Digimon live happily together in the human world, Taichi Yagami and Yamato Ishida, alongside their friends, dedicate themselves to maintaining this hard-earned peace. Though united by this innate responsibility, each one has already started to take their first steps toward a future beyond being a Chosen Child. 

However, this new journey is interrupted by the appearance of Menoa Bellucci, an American professor specializing in Digimon research. She bears news of several Chosen Children from around the world being found comatose, with their partner Digimon nowhere to be found. Menoa's investigations indicate that a new breed of Digimon is behind the alarming phenomenon: Eosmon, who hides within the internet's depths. 

To succeed in this mission, the team must endeavor through the growing distance between them and band together one last time.

[Written by MAL Rewrite]",Action | Adventure | Comedy | Drama,Isekai,8.17,1,2020,Yumeta Company,"Harumi Fuuki, [, 1, ]",,,Nostalgic and melancholic—a bittersweet farewell for fans grown up alongside the characters; emotionally resonant.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Digimon+Adventure%3A+Last+Evolution+Kizuna+anime+official+key+visual,38088,https://myanimelist.net/anime/38088/Digimon_Adventure__Last_Evolution_Kizuna,https://cdn.myanimelist.net/images/anime/1654/104884l.jpg,Digimon Adventure: Last Evolution Kizuna,1
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,1,"Jealous of Suneo's new robot toy, Nobita asks Doraemon to build him an even better one. Doraemon initially refuses, until Nobita accidentally discovers pieces of a mysterious robot that falls from the sky. After gathering all the robot parts and assembled them together, the giant robot, Zanda Claus, is soon completed. The duo soon learn that the robot is not a mere toy, but a powerful weapon in the fight against the coming Robot Army that is going to attack Earth and enslave the human inhabitants of it. An invasion is near, as a mysterious girl Riruru (リルル, Alternative spelling: Lilulu, Lillele [Doko Demo Doa Scanlations]) shows up, looking for the robot.

(Source: Wikipedia)",Adventure | Comedy | Fantasy,Mecha,8.29,1,2011,Shin-Ei Animation,Kan Sawada,,,Light and wholesome—classic Doraemon adventure with robot spectacle and warm friendship themes.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Doraemon+Movie+31%3A+Shin+Nobita+to+Tetsujin+Heidan+-+Habatake+Tenshi-tachi+anime+official+key+visual,10534,https://myanimelist.net/anime/10534/Doraemon_Movie_31__Shin_Nobita_to_Tetsujin_Heidan_-_Habatake_Tenshi-tachi,https://cdn.myanimelist.net/images/anime/7/72436l.jpg,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,1
Dororo,Dororo,Dororo,1,"The greedy samurai lord Daigo Kagemitsu's land is dying, and he would do anything for power, even renounce Buddha and make a pact with demons. His prayers are answered by 12 demons who grant him the power he desires by aiding his prefecture's growth, but at a price. When Kagemitsu's first son is born, the boy has no limbs, no nose, no eyes, no ears, nor even skin—yet still, he lives.

This child is disposed of in a river and forgotten. But as luck would have it, he is saved by a medicine man who provides him with prosthetics and weapons, allowing for him to survive and fend for himself. The boy lives and grows, and although he cannot see, hear, or feel anything, he must defeat the demons that took him as sacrifice. With the death of each one, he regains a part of himself that is rightfully his. For many years he wanders alone, until one day an orphan boy, Dororo, befriends him. The unlikely pair of castaways now fight for their survival and humanity in an unforgiving, demon-infested world.

[Written by MAL Rewrite]",Action | Adventure | Fantasy,Historical | Mythology | Samurai,8.25,24,2019,Tezuka Productions | MAPPA,Yoshihisa Hirano,,,Dark and surprisingly moving—a beautifully animated revenge quest that develops unexpected emotional depth.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Dororo+anime+official+key+visual,37520,https://myanimelist.net/anime/37520/Dororo,https://cdn.myanimelist.net/images/anime/1879/100467l.jpg,Dororo,1
Doukyuusei,Doukyuusei,Doukyuusei,1,"Hikaru Kusakabe is a normal, carefree boy in a rock band who is always focused on the present. During the summer, his entire class is forced to participate in an upcoming chorus festival. By coincidence, he discovers his classmate Rihito Sajou—known for being an honor student with excellent grades—practicing his singing alone. Sajou just cannot seem to get their class' song right, and Kusakabe, delighted at seeing a new side of his straight-laced classmate, offers to help him prepare for the event.

Although their lives and personalities are total opposites, they begin to grow closer as time progresses. But with the pressure of an unknown future, what will become of them and their growing relationship?

[Written by MAL Rewrite]",Boys Love,School,8.27,1,2016,A-1 Pictures,Takaki Matsumoto,,,Tender and quietly beautiful—a restrained BL romance praised for its naturalistic warmth and emotional honesty.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Doukyuusei+anime+official+key+visual,30346,https://myanimelist.net/anime/30346/Doukyuusei,https://cdn.myanimelist.net/images/anime/3/78606l.jpg,Doukyuusei,1
Douluo Dalu,Douluo Dalu 2nd Season,Douluo Dalu 2nd Season,1,Second season of Douluo Dalu.,Action | Adventure | Fantasy | Supernatural,Historical | Martial Arts,8.35,237,2018,Sparkly Key Animation Studio,,,,Grand and action-packed—an ambitious cultivator epic with impressive battles and a loyal fanbase.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Douluo+Dalu+anime+official+key+visual,37150,https://myanimelist.net/anime/37150/Douluo_Dalu,https://cdn.myanimelist.net/images/anime/1438/101531l.jpg,Douluo Dalu,1
Doupo Cangqiong: San Nian Zhi Yue,Doupo Cangqiong: San Nian Zhi Yue,Doupo Cangqiong 4th Season | Doupo Cangqiong: Nian Fan | Doupo Cangqiong: San Nian Zhi Yue,3,"Three years ago, Na lan Yan Ran dropped her engagement, which made the Xiao family a laughing stock in the eyes of the Empire. Xiao Yan trained for three whole years through mountains and deserts to regain his honor. He will prove by himself that everything in this world can be changed, so do not underestimate the young. Today he will put an end to the history of his past, because the future awaits him!",Action | Fantasy,Martial Arts,8.57,13,2021,Motion Magic,,,,Visually striking—a xianxia continuation with impressive action and dedicated cultivation world-building.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Doupo+Cangqiong%3A+San+Nian+Zhi+Yue+anime+official+key+visual,49701,https://myanimelist.net/anime/49701/Doupo_Cangqiong__San_Nian_Zhi_Yue,https://cdn.myanimelist.net/images/anime/1029/118861l.jpg,Doupo Cangqiong: San Nian Zhi Yue,1
Dr. Stone: New World,Dr. Stone: New World Part 2,Dr. Stone | Dr. Stone: New World Part 2 | Dr. Stone: Ryuusui | Dr. Stone: Science Future | Dr. Stone: Stone Wars,5,"Years ago, astronaut Byakuya left behind precious materials in the belief that his son, the scientifically-gifted Senkuu, would one day find them. In the present, the Kingdom of Science's Kohaku and Ginrou have infiltrated the harem of the Petrification Kingdom’s leader with the help of Amaryllis, a local girl. At first, their mission progresses without a hitch. Unfortunately, an error enacted by Kohaku and Ginrou leads Minister Ibara and the Island’s strongest warrior, Moz, to identify the intruding duo as enemies.

Even worse, Moz tails Amaryllis when she returns to inform Senkuu of the news, discovering the scientist's secret hideout. However, Moz's agenda does not align with Ibara's—he wants to dethrone the minister and keep the petrification device for himself. If Senkuu plays his cards right, he could gain a powerful ally and win the war once and for all.

[Written by MAL Rewrite]",Adventure | Comedy | Sci-Fi,War,8.32,11,2023,TMS Entertainment,"Tatsuya Kato, Hiroaki Tsutsumi, Yuki Kanesaka",,,"Clever and energizing—science-as-adventure storytelling that's creative, optimistic, and genuinely fun.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Dr.+Stone%3A+New+World+anime+official+key+visual,48549,https://myanimelist.net/anime/48549/Dr_Stone__New_World,https://cdn.myanimelist.net/images/anime/1316/136268l.jpg,Dr. Stone: New World,1
Dragon Ball Super: Broly,Dragon Ball Super: Broly,Dragon Ball Super: Broly,1,"Forty-one years ago on Planet Vegeta, home of the infamous Saiyan warrior race, King Vegeta noticed a baby named Broly whose latent power exceeded that of his own son. Believing that Broly's power would one day surpass that of his child, Vegeta, the king sends Broly to the desolate planet Vampa. Broly's father Paragus follows after him, intent on rescuing his son. However, his ship gets damaged, causing the two to spend years trapped on the barren world, unaware of the salvation that would one day come from an unlikely ally.

Years later on Earth, Gokuu Son and Prince Vegeta—believed to be the last survivors of the Saiyan race—are busy training on a remote island. But their sparring is interrupted when the appearance of their old enemy Frieza drives them to search for the last of the wish-granting Dragon Balls on a frozen continent. Once there, Frieza shows off his new allies: Paragus and the now extremely powerful Broly. A legendary battle that shakes the foundation of the world ensues as Gokuu and Vegeta face off against Broly, a warrior without equal whose rage is just waiting to be unleashed.

[Written by MAL Rewrite]",Action | Adventure | Fantasy,Martial Arts,8.19,1,2018,Toei Animation,Norihito Sumitomo,,,Euphoric and kinetic—the best Dragon Ball fight in decades; pure nostalgic joy delivered at overwhelming scale.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Dragon+Ball+Super%3A+Broly+anime+official+key+visual,36946,https://myanimelist.net/anime/36946/Dragon_Ball_Super__Broly,https://cdn.myanimelist.net/images/anime/1575/93498l.jpg,Dragon Ball Super: Broly,1
Dragon Ball Z,Dragon Ball Z,Dragon Ball Z,1,"Five years after winning the World Martial Arts tournament, Gokuu is now living a peaceful life with his wife and son. This changes, however, with the arrival of a mysterious enemy named Raditz who presents himself as Gokuu's long-lost brother. He reveals that Gokuu is a descendant of the once powerful but now virtually extinct Saiyan race, whose homeworld was annihilated. When he was sent to Earth as a baby, Gokuu's sole purpose was to conquer and destroy the planet; but after suffering amnesia from a head injury, his violent and savage nature changed, and instead was raised as a kind and well-mannered boy, now fighting to protect others.

With his failed attempt at forcibly recruiting Gokuu as an ally, Raditz warns Gokuu's friends of a new threat that's rapidly approaching Earth—one that could plunge Earth into an intergalactic conflict and cause the heavens themselves to shake. A war will soon be fought over the seven mystical Dragon Balls, magic objects that can grant any wish. Only the strongest will survive.

[Written by MAL Rewrite]",Action | Adventure | Comedy | Fantasy,Martial Arts,8.2,291,1989,Toei Animation,Shunsuke Kikuchi,,,Iconic and larger-than-life—the definitive power fantasy; beloved for its escalating battles and emotional hype.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Dragon+Ball+Z+anime+official+key+visual,813,https://myanimelist.net/anime/813/Dragon_Ball_Z,https://cdn.myanimelist.net/images/anime/1277/142022l.jpg,Dragon Ball Z,1
Dungeon Meshi,Dungeon Meshi,Dungeon Meshi,1,"Adventuring knight Laios Touden leads a small party through a seemingly endless dungeon, a subterranean maze full of dangerous monsters and precarious traps. Through the use of advanced magic, an explorer can sometimes be resurrected, allowing them to learn from past mistakes and give traversing the dungeon another go. However, when a powerful dragon eats Falin, Laios' spellcasting sister, she sends her brother and his companions back to the beginning to save them from permanent ends.

Though strapped for cash and equipment, Laios resolves to fight his way through the dungeon and rescue Falin before she can be digested by the dragon. Despite some of Laios' allies abandoning him, two remain by his side: elven mage Marcille Donato and halfling locksmith Chilchuck Tims. Due to their lack of funds, the party faces the daunting prospect of starving before being able to complete their quest. However, they find salvation in Senshi, a dwarven warrior with a penchant for cooking and safely eating defeated monsters.

With Senshi's culinary expertise, Laios and his companions struggle through the dungeon while learning about gourmet dining—and each other—along the way.

[Written by MAL Rewrite]",Adventure | Comedy | Fantasy | Gourmet,Gourmet | Survival,8.6,24,2024,Trigger,"Yasunori Mitsuda, Shunsuke Tsuchiya",,,"Warm, imaginative, and wickedly funny—food-as-adventure with surprising emotional depth and genuine heart.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Dungeon+Meshi+anime+official+key+visual,52701,https://myanimelist.net/anime/52701/Dungeon_Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.jpg,Dungeon Meshi,1
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,1,Second part of Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV.,Action | Adventure | Fantasy,Survival,8.25,11,2023,J.C.Staff,Keiji Inai,,,Tense and emotionally raw—the darkest DanMachi arc; genuinely harrowing with powerful character moments.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Dungeon+ni+Deai+wo+Motomeru+no+wa+Machigatteiru+Darou+ka+IV%3A+Shin+Shou+-+Yakusai-hen+anime+official+key+visual,53111,https://myanimelist.net/anime/53111/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_IV__Shin_Shou_-_Yakusai-hen,https://cdn.myanimelist.net/images/anime/1476/128693l.jpg,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,1
Eizouken ni wa Te wo Dasu na!,Eizouken ni wa Te wo Dasu na!,Eizouken ni wa Te wo Dasu na!,1,"Midori Asakusa sees the world a bit differently. Always having her nose in a sketchbook, Asakusa draws detailed landscapes and backgrounds of both the world around her and the one within her boundless imagination. Even the simple act of doodling on a wall evolves into an emergency repair on the outer hull of her spaceship. She is only brought back to reality by her best friend Sayaka Kanamori. The pair are stark opposites, with Asakusa's childlike wonder contrasted by Kanamori's calculated approach to life. 

After a chance encounter where the two ""save"" the young model Tsubame Misuzaki from her overprotective bodyguard, a connection instantly sparks between Asakusa and Misuzaki, as both share an intense passion for art and animation. Whereas Asakusa is interested in backgrounds and settings, Misuzaki loves drawing the human form. Sensing a money-making opportunity, Kanamori suggests that they start an animation club, which they disguise as a motion picture club since the school already has an anime club. Thus begins the trio's journey of producing animation that will awe the world. 

From the brilliant mind of Masaaki Yuasa, Eizouken ni wa Te wo Dasu na! is a love letter to animation, wildly creative in its approach, and a testament to the potential of the medium.

[Written by MAL Rewrite]",Adventure | Award Winning | Comedy,Otaku Culture | School,8.13,12,2020,Science SARU,Oorutaichi,,,Joyful and electric—a love letter to animation itself; infectious creative energy and genuine artistic passion.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Eizouken+ni+wa+Te+wo+Dasu+na%21+anime+official+key+visual,39792,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na,https://cdn.myanimelist.net/images/anime/1680/110451l.jpg,Eizouken ni wa Te wo Dasu na!,1
Evangelion Movie 2: Ha,Evangelion Movie 2: Ha,Evangelion Movie 2: Ha,1,"When the threat of the Angel menace escalates, mankind's defense force is pushed to its limits, with NERV at the forefront of the struggle. Shinji Ikari and his partner Rei Ayanami are assisted by two new pilots: the fiery Asuka Langley Shikinami and the mysterious Mari Illustrious Makinami.

With the aid of their mechanized Evangelion units, equipped with weapons perfect for engaging their monstrous opponents, the four young souls fight desperately to protect their loved ones and prevent an impending apocalypse. But when startling secrets are brought to light, will the heroes' greatest challenge prove to be the monsters...or humanity itself?

[Written by MAL Rewrite]",Action | Drama | Sci-Fi | Suspense,Mecha | Psychological,8.3,1,2009,Khara,Shirō Sagisu,,,Intense and provocative—gorgeous reimagining with emotional whiplash; builds to a jaw-dropping finale.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Evangelion+Movie+2%3A+Ha+anime+official+key+visual,3784,https://myanimelist.net/anime/3784/Evangelion_Movie_2__Ha,https://cdn.myanimelist.net/images/anime/5/74983l.jpg,Evangelion Movie 2: Ha,1
Fanren Xiu Xian Chuan: Xinghai Feichi,Fanren Xiu Xian Chuan: Xinghai Feichi,Fanren Xiu Xian Chuan: Xinghai Feichi,1,Third season of Fanren Xiu Xian Chuan.,Action | Adventure | Fantasy,Historical | Martial Arts,8.24,48,2023,Original Force | Wonder Cat Animation,,,,Vast and atmospheric—a cultivation epic praised for its ambition and detailed xianxia world-building.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Fanren+Xiu+Xian+Chuan%3A+Xinghai+Feichi+anime+official+key+visual,55993,https://myanimelist.net/anime/55993/Fanren_Xiu_Xian_Zhuan__Xinghai_Feichi_Prologue,https://cdn.myanimelist.net/images/anime/1690/137149l.jpg,Fanren Xiu Xian Zhuan: Xinghai Feichi Prologue,0.8675
Fate/Zero,Fate/Zero 2nd Season,Fate/Zero 2nd Season,1,"As the Fourth Holy Grail War rages on with no clear victor in sight, the remaining Servants and their Masters are called upon by Church supervisor Risei Kotomine, in order to band together and confront an impending threat that could unravel the Grail War and bring about the destruction of Fuyuki City. The uneasy truce soon collapses as Masters demonstrate that they will do anything in their power, no matter how despicable, to win.

Seeds of doubt are sown between Kiritsugu Emiya and Saber, his Servant, as their conflicting ideologies on heroism and chivalry clash. Meanwhile, an ominous bond forms between Kirei Kotomine, who still seeks to find his purpose in life, and one of the remaining Servants. As the countdown to the end of the war reaches zero, the cost of winning begins to blur the line between victory and defeat.

[Written by MAL Rewrite]",Action | Fantasy,Urban Fantasy,8.54,12,2012,ufotable,Yuki Kajiura,,,"Dark and morally complex—a brutal war of ideals with tragic characters; intelligent, emotionally devastating.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Fate%2FZero+anime+official+key+visual,10087,https://myanimelist.net/anime/10087/Fate_Zero,https://cdn.myanimelist.net/images/anime/1887/117644l.jpg,Fate/Zero,1
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Fate/stay night Movie: Heaven's Feel - I. Presage Flower | Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly | Fate/stay night Movie: Heaven's Feel - III. Spring Song | Fate/stay night: Unlimited Blade Works 2nd Season,4,"The Fifth Holy Grail War in Fuyuki City has reached a turning point in which the lives of all participants are threatened as the hidden enemy finally reveals itself. As Shirou Emiya, Rin Toosaka, and Illyasviel von Einzbern discover the true, corruptive nature of the shadow that has been rampaging throughout the city, they realize just how dire the situation is. In order to protect their beloved ones, the group must hold their own against the seemingly insurmountable enemy force—even if some of those foes were once their allies, or perhaps, something more intimate.

As the final act of this chaotic war commences, the ideals Shirou believes will soon be challenged by an excruciating dilemma: is it really possible to save a world where everything seems to have gone wrong?

[Written by MAL Rewrite]",Action | Fantasy,Urban Fantasy,8.65,1,2020,ufotable,Yuki Kajiura,,,"Visually stunning and emotionally climactic—a dark, passionate conclusion that rewards patient viewers.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Fate%2Fstay+night+Movie%3A+Heaven%27s+Feel+-+III.+Spring+Song+anime+official+key+visual,33050,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,https://cdn.myanimelist.net/images/anime/1142/112957l.jpg,Fate/stay night Movie: Heaven's Feel - III. Spring Song,1
Fate/strange Fake: Whispers of Dawn,Fate/strange Fake: Whispers of Dawn,Fate/strange Fake: Whispers of Dawn,1,"In the American city of Snowfield, a new Holy Grail War is about to erupt. Such ruthless confrontations pit against each other magic experts known as magi, who ascend to the status of Master by summoning Servants—heroic spirits of the past. The winner is thought to have any one of their wishes granted.

However, it appears that the organization behind the present situation has merely managed to create an imperfect copy of the Third Holy Grail War. As the unusual ritual catches the attention of the Mage's Association in London, Flatt Escardos, the young apprentice of Lord El-Melloi II—a former participant of the Fourth Holy Grail War—travels to Snowfield and, to the great dismay of his teacher, joins the ranks of the Masters.

In this fake conflict where the line between Masters and Servants is blurred, the different factions will have a hard time preventing the city of Snowfield from plunging into total chaos.

[Written by MAL Rewrite]",Action | Fantasy,Urban Fantasy,8.19,1,2023,A-1 Pictures,Hiroyuki Sawano,,,Stylish and intriguing—an alternate Holy Grail War with strong servant designs and playful subversions.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Fate%2Fstrange+Fake%3A+Whispers+of+Dawn+anime+official+key+visual,53127,https://myanimelist.net/anime/53127/Fate_strange_Fake__Whispers_of_Dawn,https://cdn.myanimelist.net/images/anime/1220/136619l.jpg,Fate/strange Fake: Whispers of Dawn,1
Frieren: Beyond Journey's End,Sousou no Frieren,Sousou no Frieren,1,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.

However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.

As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.

[Written by MAL Rewrite]",Adventure | Drama | Fantasy,Adult Cast | Historical | Mythology,9.3,28,2023,Madhouse,Evan Call,https://en.wikipedia.org/wiki/Evan_Call,,"poetic, heartfelt, quietly profound fantasy; gorgeous world-building",IMDb user reviews (snippet synth),https://www.imdb.com/title/tt22248376/reviews/,https://www.google.com/search?tbm=isch&q=Frieren%3A+Beyond+Journey%27s+End+anime+official+key+visual,59978,https://myanimelist.net/anime/59978/Sousou_no_Frieren_2nd_Season,https://cdn.myanimelist.net/images/anime/1921/154528l.jpg,Sousou no Frieren 2nd Season,0.4561
Fruits Basket: The Final,Fruits Basket: The Final,Fruits Basket 1st Season | Fruits Basket 2nd Season | Fruits Basket: Prelude | Fruits Basket: The Final,4,"Hundreds of years ago, the Chinese zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.

Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.

[Written by MAL Rewrite]",Drama | Romance | Supernatural,School,8.95,13,2021,TMS Entertainment,Masaru Yokoyama,,,"tender, cathartic, tearjerking family drama with healing warmth",IMDb user reviews (snippet synth),https://www.imdb.com/title/tt9304350/reviews/,https://www.google.com/search?tbm=isch&q=Fruits+Basket%3A+The+Final+anime+official+key+visual,42938,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,https://cdn.myanimelist.net/images/anime/1085/114792l.jpg,Fruits Basket: The Final,1
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,1,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",Action | Adventure | Drama | Fantasy,Military,9.1,64,2009,Bones,Akira Senju,,,"Emotionally powerful and tightly written—praised for its mature themes, satisfying character arcs, and deeply cathartic conclusion.",IMDb user reviews (snippet synth),https://www.imdb.com/title/tt1355642/reviews/,https://www.google.com/search?tbm=isch&q=Fullmetal+Alchemist%3A+Brotherhood+anime+official+key+visual,5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745l.jpg,Fullmetal Alchemist: Brotherhood,1
Fumetsu no Anata e,Fumetsu no Anata e,Fumetsu no Anata e,1,"An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss.

It does not move until one snowy day, a wolf at death's door barely crosses by. When It takes the animal's form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf's master—a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. Although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day.

The boy wants to explore new surroundings and decides to abandon his home with It to find the paradise using the traces his tribe left behind. However, with a heavily injured body and no sight of his elder comrades, what will become of the boy?

Fumetsu no Anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time.

[Written by MAL Rewrite]",Adventure | Drama | Supernatural,War,8.34,20,2021,Brain's Base,Ryo Kawasaki,,,Haunting and emotionally crushing—grief rendered with quiet intensity; viewers frequently describe it as devastating.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Fumetsu+no+Anata+e+anime+official+key+visual,41025,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,https://cdn.myanimelist.net/images/anime/1880/118484l.jpg,Fumetsu no Anata e,1
Gin no Saji,Gin no Saji 2nd Season,Gin no Saji 2nd Season,1,"Now accustomed to his life at Ooezo Agricultural High School, Yuugo Hachiken explores the deeper aspects of what school life really means. As Hachiken learns more about himself and earns the skills necessary for his everyday tasks, he is even offered the position of the Equestrian Club's vice-president. The new semester brings a variety of agricultural dilemmas and personal conflicts, but, nevertheless, Hachiken perseveres in order to discover his dream and continue working together with his friends.

[Written by MAL Rewrite]",Comedy,School,8.27,11,2014,A-1 Pictures,Shūsei Murai,,,"Warm and grounding—honest look at rural farm life; funny, genuine, and more emotionally rich than expected.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Gin+no+Saji+anime+official+key+visual,16918,https://myanimelist.net/anime/16918/Gin_no_Saji,https://cdn.myanimelist.net/images/anime/6/49237l.jpg,Gin no Saji,1
